Date,Symbol,Series,Open,High,Low,LTP,Close,Volume,Turnover
,,,,,,,,,(in Lakhs)
02-Sep-22,TATASTEEL,EQ,107,107,105,105.6,105.5,"4,56,01,352","48,243.28"
01-Sep-22,TATASTEEL,EQ,107,107.75,105.9,106.6,106.4,"5,24,54,732","55,937.28"
30-Aug-22,TATASTEEL,EQ,106.5,108.5,106.05,108.45,108.3,"6,74,01,780","72,415.68"
29-Aug-22,TATASTEEL,EQ,104.05,105.65,103.25,105.05,104.85,"5,98,95,805","62,727.83"
26-Aug-22,TATASTEEL,EQ,107.25,109.2,107.1,107.5,107.35,"7,12,57,092","77,059.23"
25-Aug-22,TATASTEEL,EQ,107.05,107.9,105.75,106.5,106.25,"4,21,86,335","45,130.83"
24-Aug-22,TATASTEEL,EQ,107.55,108.15,105.75,106.3,106.55,"5,56,86,404","59,412.88"
23-Aug-22,TATASTEEL,EQ,104.2,108.25,103.5,107.9,107.6,"7,05,31,639","75,238.72"
22-Aug-22,TATASTEEL,EQ,109.5,109.6,104.7,105.2,105.05,"7,40,37,526","79,067.95"
19-Aug-22,TATASTEEL,EQ,112.55,112.9,109.55,109.75,110.05,"5,71,34,813","63,467.86"
18-Aug-22,TATASTEEL,EQ,112.5,113,111.4,112.7,112.55,"4,93,96,425","55,485.16"
17-Aug-22,TATASTEEL,EQ,113.5,113.5,112.25,112.4,112.5,"5,40,08,422","60,950.00"
16-Aug-22,TATASTEEL,EQ,113.7,113.7,111.1,113,113,"6,92,07,437","77,891.01"
12-Aug-22,TATASTEEL,EQ,109.35,112.9,108.8,112.8,112.65,"9,59,42,333","1,07,336.11"
11-Aug-22,TATASTEEL,EQ,110.3,110.65,108.6,109,109.1,"7,53,21,498","82,471.81"
10-Aug-22,TATASTEEL,EQ,107.9,109.9,106.5,109.2,109.2,"7,38,80,698","79,964.57"
08-Aug-22,TATASTEEL,EQ,107.85,108.15,106.7,107.25,107.2,"4,13,84,943","44,425.44"
05-Aug-22,TATASTEEL,EQ,107.65,109.25,107.1,107.3,107.35,"5,44,69,112","58,850.14"
04-Aug-22,TATASTEEL,EQ,107.5,109.5,106.05,107.6,107.7,"7,95,26,154","85,778.18"
