Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
25-Aug-22,EQ,107.05,107.9,105.75,106.55,106.5,106.25,106.98,"1,476.00",97.15,42186335,"4,51,30,82,704.70",172570
24-Aug-22,EQ,107.55,108.15,105.75,107.6,106.3,106.55,106.69,"1,476.00",97.15,55686404,"5,94,12,87,674.10",247974
23-Aug-22,EQ,104.2,108.25,103.5,105.05,107.9,107.6,106.67,"1,476.00",97.15,70531639,"7,52,38,72,406.95",262215
22-Aug-22,EQ,109.5,109.6,104.7,110.05,105.2,105.05,106.79,"1,476.00",97.15,74037526,"7,90,67,95,316.15",402941
19-Aug-22,EQ,112.55,112.9,109.55,112.55,109.75,110.05,111.08,"1,534.50",97.15,57134813,"6,34,67,85,640.60",227022
18-Aug-22,EQ,112.5,113,111.4,112.5,112.7,112.55,112.33,"1,534.50",97.15,49396425,"5,54,85,15,767.75",179401
17-Aug-22,EQ,113.5,113.5,112.25,113,112.4,112.5,112.85,"1,534.50",97.15,54008422,"6,09,49,99,817.65",207669
16-Aug-22,EQ,113.7,113.7,111.1,112.65,113,113,112.55,"1,534.50",97.15,69207437,"7,78,91,00,716.70",238391
12-Aug-22,EQ,109.35,112.9,108.8,109.1,112.8,112.65,111.88,"1,534.50",97.15,95942333,"10,73,36,10,778.10",307921
11-Aug-22,EQ,110.3,110.65,108.6,109.2,109,109.1,109.49,"1,534.50",97.15,75321498,"8,24,71,81,079.65",215699
10-Aug-22,EQ,107.9,109.9,106.5,107.2,109.2,109.2,108.23,"1,534.50",97.15,73880698,"7,99,64,57,230.30",241058
08-Aug-22,EQ,107.85,108.15,106.7,107.35,107.25,107.2,107.35,"1,534.50",97.15,41384943,"4,44,25,43,901.95",162485
05-Aug-22,EQ,107.65,109.25,107.1,107.7,107.3,107.35,108.04,"1,534.50",97.15,54469112,"5,88,50,13,963.00",179580
04-Aug-22,EQ,107.5,109.5,106.05,107.05,107.6,107.7,107.86,"1,534.50",97.15,79526154,"8,57,78,18,116.05",275745
03-Aug-22,EQ,107,108.45,106,107,107.1,107.05,106.93,"1,534.50",97.15,61428846,"6,56,83,25,454.70",235976
02-Aug-22,EQ,108,108,105.35,108.25,106.9,107,106.84,"1,534.50",97.15,64935371,"6,93,76,71,692.00",279505
01-Aug-22,EQ,110.5,111.45,106.15,107.6,108.25,108.25,108.42,"1,534.50",97.15,125365761,"13,59,21,94,355.85",468883
29-Jul-22,EQ,103,109.3,102.15,100.35,107.8,107.6,106.71,"1,534.50",97.15,166959934,"17,81,60,38,805.05",618198
28-Jul-22,EQ,98.1,102,97.15,959.4,100.2,100.35,99.48,"1,534.50",97.15,137156107,"13,64,43,36,927.10",628262
27-Jul-22,EQ,951,961.55,943.6,949.5,960.4,959.4,953.43,"1,534.50",827,5255902,"5,01,11,19,637.70",144783
26-Jul-22,EQ,972,976.7,946.05,960.7,947.95,949.5,959.86,"1,534.50",827,12626469,"12,11,95,95,065.95",228226
25-Jul-22,EQ,935,964.85,933.6,936.05,964.7,960.7,955.02,"1,534.50",827,9963563,"9,51,53,99,224.15",205117
